price_vnd,sim_number
1000000,776260543
500000,822977488
10000000,707963979
450000,344134986
1000000,795718118
450000,974828772
5000000,818999191
450000,329730568
13000000000,585444777
15000000,904179189
450000,343759368
450000,342855345
1000000,763644188
1000000,943784318
450000,335342968
3000000,588086886
500000,858130713
450000,375808339
450000,367527866
3000000,764011368
450000,378569788
3000000,931209686
5000000,386495666
1000000,776266263
450000,327007239
1000000,947428605
1000000,944036827
5000000,901889987
500000,967267781
450000,327010400
10000000,911047555
5000000,943669689
450000,375935639
3000000,943533543
450000,865161510
1000000,769739123
450000,326160839
3000000,865660789
13500000,814398899
450000,983279854
500000,352089198
12500000,886696996
1000000,942536206
5000000,362153153
1000000,904950956
5000000,912441993
500000,852218557
1000000,773357857
3000000,971451456
3000000,828593838
10300000,888886216
1000000,941193095
13000000,964758789
3000000,925659669
5000000,931395779
10000000,823459393
500000,901255661
13300000,767186868
1000000,762551966
1000000,708076336
13600000,384050888
500000,976670701
450000,368804994
1000000,932342542
450000,328178586
500000,879301068
15000000,784123789
12500000,797669666
1000000,825563678
5000000,919026866
500000,879591269
5000000,853957957
10000000,338111186
1000000,708066061
1000000,702758123
500000,934109125
450000,326588813
50000000,775928888
1000000,763766123
1000000,941744298
1000000,762615611
5000000,933002268
450000,329333046
10300000,888985859
15000000,345657888
1000000,909138507
5000000,978626369
12000000,979999307
1000000,898582989
500000,566103779
500000,936180407
3000000,931847086
500000,362259468
500000,879197985
3000000,981579269
1000000,846634234
12000000,339952555
3000000,827131616
450000,973232724
500000,828430567
68000000,377737373
3000000,986152024
5000000,365262777
450000,343870388
450000,344283889
3000000,779802666
450000,866275552
1000000,898822121
5000000,983248444
1000000,763590592
500000,966993107
450000,343274286
1000000,795690697
3000000,908179900
450000,336232039
450000,866998923
450000,343788939
1000000,948874921
450000,867023502
3000000,907667893
1000000,942517151
99000000,939267979
450000,326849066
3000000,902571757
1000000,763749745
1000000,799098432
3000000,932320279
3000000,947645566
65000000,775666866
450000,343745288
450000,358190886
500000,342717008
450000,984934446
1000000,799163543
1000000,702644722
11290000,343992888
3000000,971201184
10100000,812002888
450000,357770239
3000000,796010110
500000,879484131
5000000,342141996
450000,866985676
3000000,981037997
500000,945441689
55000000,795626262
450000,974861231
500000,932305439
500000,373433577
1000000,762626621
12000000,819008833
5000000,862266168
450000,974430243
450000,343698439
450000,865187892
450000,865196496
3000000,922781379
3000000,769888846
12000000,962111661
450000,335704939
450000,343586366
450000,364134766
5000000,383296886
500000,325671319
52000000,707999779
450000,334361388
500000,799171764
3000000,938583969
3000000,889626656
1000000,945990718
5000000,787283555
500000,965262087
1000000,799184584
450000,334271204
450000,385681586
1000000,762771961
15000000,812011983
450000,983642348
13900000,856167979
1000000,767131345
3000000,929115579
5000000,567379779
450000,356125139
500000,792423222
450000,333241788
3000000,899936386
1000000,707365563
12000000,522011998
1000000,909265095
3000000,818040868
1000000,888546454
500000,903301913
5000000,938292595
450000,866247778
1000000,384754779
15000000,911117717
450000,865406939
450000,329572399
15000000,706027979
500000,976111032
1000000,943823307
450000,862984079
1000000,708086084
1000000,942166622
450000,335260001
500000,568103168
450000,343294234
1000000,773362676
500000,813861315
13000000,365444443
10000000,358525525
11400000,788888335
500000,961580359
5000000,888866991
450000,343310591
1000000,763538338
3000000,865918568
500000,523991981
500000,905123254
3000000,854100300
450000,862943499
500000,367879677
450000,329082839
450000,865686780
450000,326854399
10000000,702131982
1000000,889797356
500000,879160884
3000000,398137788
1000000,763746646
5000000,908697333
1000000,762621961
70000000,933838386
450000,987948476
500000,966689610
5000000,369891985
3000000,936330133
3000000,868652679
5000000,868929993
3000000,968366658
500000,898529313
1000000,898311227
5000000,375760888
450000,375954554
450000,344280184
1000000,926368118
3000000,965034886
3000000,845678283
450000,352159179
500000,965148524
500000,877152366
3000000,862982228
450000,376295388
3000000,911690139
3000000,775687678
450000,865396766
10500000,798666622
450000,333417699
450000,386736286
10000000,932338688
12000000,855996899
5000000,769264555
5000000,918358338
450000,332892966
450000,343982017
450000,327762139
1000000,762512812
5000000,979702011
1000000,762701983
450000,342847889
450000,342872939
1000000,773372543
3000000,979100610
3000000,966184579
1000000,847423678
5000000,368285789
450000,327943969
3000000,986252050
3000000,382356268
1000000,762644811
500000,949470392
1000000,762534537
11000000,876246888
500000,877010683
5000000,789106969
1000000,926363359
500000,879258288
10300000,888863879
3000000,964444083
450000,349228488
5000000,936995595
450000,329041639
450000,336503337
450000,329490639
1000000,889505697
3000000,856865986
3000000,919101141
11325000,827314678
1000000,795701012
3000000,388855922
1000000,944091367
500000,888675505
1000000,702692392
450000,865989538
1000000,945080959
1000000,795593345
450000,328004699
3000000,786877774
1000000,705939799
5000000,818367779
5000000,837666279
450000,326090693
500000,877117577
5000000,836989879
80000000,793778899
10000000,865987654
3000000,985625562
3000000,786552233
450000,325711141
500000,921697980
1000000,763539439
3000000,833181886
3000000,901884588
3000000,827555886
13600000,335830000
130000000,819111666
450000,328480669
450000,326147299
86000000,398059999
450000,335190600
1000000,769319939
450000,383240191
5000000,707355556
5000000,987552019
3000000,522341984
3000000,989160975
53600000,838858999
450000,369967386
10000000,925122009
1000000,943743227
3000000,944300694
3000000,942771970
5000000,931624777
1000000,867514679
500000,934965486
500000,762401379
3000000,909969612
500000,854218639
5000000,783669900
400000000,762226666
450000,342986379
500000,906176990
3000000,328661886
11325000,813297678
5000000,888882687
5000000,798779886
450000,369766079
12000000,522041994
500000,523982008
3000000,829012368
500000,339021797
5000000,968381339
3000000,814066686
3000000,768179568
10000000,816868988
500000,964903258
5000000,782149555
1000000,898325774
450000,358892939
5000000,335886636
450000,983967785
11000000,971197789
3000000,948108910
500000,938221148
500000,927502008
5000000,325222007
1000000,763556551
220000000,965665665
450000,352397169
10000000,979880568
450000,336736239
12000000,799972972
1000000,708137131
5000000,332121286
3000000,941144664
500000,877111822
5000000,779183838
5000000,766669868
450000,332712499
1000000,846761333
13000000,799933777
1000000,763578345
3000000,566088688
11325000,848971678
500000,969108028
5000000,813061976
11325000,819429678
3000000,934138558
10000000,913134404
1000000,942470223
3000000,812855866
500000,815056839
5000000,705691666
3000000,971782022
450000000,707777888
500000,877150804
450000,343300053
95000000,886666696
500000,794402879
5000000,888344456
1000000,778500788
500000,567649946
450000,329300566
1000000,858976986
5000000,938646636
3000000,886223444
3000000,903783179
12500000,921071992
3000000,929056768
1000000,972210163
450000,862928339
3000000,799977970
1000000,763071797
450000,865837840
500000,354637536
500000,888940418
500000,813677997
450000,326825466
450000,326516739
1000000,909176870
52000000,707082222
250000000,847383838
5000000,359239222
3000000,926478578
1000000,763669664
500000,843587386
450000,326594739
1000000,972569611
450000,343180839
1000000,967736707
5000000,876686839
3000000,984318986
3000000,823838878
3000000,978206179
1000000,945305179
13000000,965770222
450000,974127557
1000000,702669456
5000000,902414078
450000,336082539
450000,348952766
500000,877007768
3000000,368833638
3000000,344001144
500000,877104779
500000,334879486
450000,865184479
5000000,977378837
3000000,813369777
500000,961842494
450000,327470286
13000000,788841999
450000,376213266
450000,336002786
500000,901687267
11325000,857809678
12000000,972112568
10000000,826022027
450000,336137866
450000,349923786
500000,816711677
450000,359390199
3000000,859457457
10000000,783838078
5000000,355977898
1000000,773313654
450000,334813188
450000,388368519
450000,345980169
450000,972215921
450000,865475378
12200000,338127999
1000000,763061067
3000000,912530939
3000000,937229329
1000000,942697898
10000000,704411411
69000000,777040404
1000000,945662756
5000000,794225666
450000,327530539
1000000,909110637
1000000,763755758
450000,357481088
1000000,918048252
3000000,989052244
450000,353480388
5000000,945878778
12000000,858060060
5000000,365777268
3000000,782827666
1000000,944708683
3000000,927609686
3000000,857806886
10000000,852139666
500000,879488681
450000,335204588
5000000,862281168
450000,326417586
450000,865062488
1000000,353115229
500000,909746285
1000000,916189903
500000,563532001
450000,343150876
11900000,928955678
5000000,979246000
5000000,398791998
500000,346061218
50000000,362079079
3000000,931369357
1000000,939398635
3000000,966252786
500000,918541106
5000000,969696163
3000000,963283628
1000000,705907765
12600000,838222200
1000000,567132668
1000000,971537755
500000,965799060
3000000,868240686
500000,909196984
450000,334844467
500000,977540601
500000,902305993
3000000,775686636
12000000,931231555
450000,326577742
1000000,947935070
99000000,869386386
5000000,342134953
1000000,842389678
3000000,764911555
500000,877992241
450000,335830539
3000000,866239678
1000000,886706214
450000,359014966
10000000,902919889
3000000,832666369
500000,922687679
79000000,989789868
500000,936185216
1000000,369206906
50000000,826889888
12000000,916081995
450000,343356186
12000000,946666643
12000000,825707707
1000000,763023923
500000,877149977
1000000,947699631
1000000,949089311
450000,335922839
500000,568071779
12000000,343332332
12000000,783774444
1000000,762667662
139000000,762289999
1000000,705297711
450000,326691866
500000,981460746
10000000,935886186
500000,879286269
500000,523832002
450000,327732488
500000,905155120
1000000,948423786
500000,927532006
500000,984064876
1000000,909110856
5000000,918411996
450000,336150775
450000,379711221
1000000,763106070
5000000,868799368
450000,344514439
5000000,937211233
1000000,898909991
1000000,777678437
1000000,936130183
14800000,399130000
10000000,797226888
500000,828009596
500000,924989196
1000000,702792692
450000,362894079
1000000,982559930
450000,376040781
10000000,979823179
500000,367021961
12800000,824399998
500000,981665092
5000000,915449900
3000000,963452024
3000000,325226626
450000,343191974
5000000,974376866
3000000,798888532
1000000,904750543
450000,329310003
1000000,886485562
450000,339086568
3000000,975520268
450000,987278931
3000000,767134999
1000000,898325507
12000000,822139666
1000000,909263881
450000,866384784
1000000,936697577
1000000,797051191
3000000,919318689
1000000,947966294
1000000,768986123
450000,326160680
1000000,789888701
14000000,764488488
500000,879403322
11325000,859034678
5000000,375686777
500000,879612712
5000000,903084646
500000,971967096
500000,877993009
3000000,911201688
5000000,705507879
