price_vnd,sim_number
2241924,776260543
4348134,822977488
6408391,707963979
2248371,344134986
2718348,795718118
1974588,974828772
3173074,818999191
2567623,329730568
1294234368,585444777
3134955,904179189
2433758,343759368
2315179,342855345
4483883,763644188
1760468,943784318
1638574,335342968
1169054,588086886
2072072,858130713
2440120,375808339
3080963,367527866
2735903,764011368
5286784,378569788
2301617,931209686
6481946,386495666
3981258,776266263
2259433,327007239
2653134,947428605
2846065,944036827
3120419,901889987
3214151,967267781
1668010,327010400
7058437,911047555
4038831,943669689
2827924,375935639
2497119,943533543
1859171,865161510
2229749,769739123
1703853,326160839
5511199,865660789
7359874,814398899
3182354,983279854
2100393,352089198
3671905,886696996
2156304,942536206
1281870,362153153
2110692,904950956
4985837,912441993
1702741,852218557
1900546,773357857
4103074,971451456
5310973,828593838
5491207,888886216
1899915,941193095
6798452,964758789
1317700,925659669
4974119,931395779
4566304,823459393
2083035,901255661
9755197,767186868
3336499,762551966
3756067,708076336
6102505,384050888
3149372,976670701
1887746,368804994
2710069,932342542
2758458,328178586
2986110,879301068
6907861,784123789
10220731,797669666
4629000,825563678
9518051,919026866
2084110,879591269
1651554,853957957
6193499,338111186
4224951,708066061
2503278,702758123
1748941,934109125
2365870,326588813
72357104,775928888
2049902,763766123
1852669,941744298
1566480,762615611
5756047,933002268
1487465,329333046
1542613,888985859
7265918,345657888
3312368,909138507
2819490,978626369
3817186,979999307
4150711,898582989
2541694,566103779
2207592,936180407
1202740,931847086
2620242,362259468
2233403,879197985
2664668,981579269
3108126,846634234
5234782,339952555
5614549,827131616
3525652,973232724
2364190,828430567
4659854,377737373
1692591,986152024
4417013,365262777
2233293,343870388
5336444,344283889
6973298,779802666
3014370,866275552
3519564,898822121
7089089,983248444
1821217,763590592
3124714,966993107
1652462,343274286
1944570,795690697
2985596,908179900
1959980,336232039
2970918,866998923
3441304,343788939
1920058,948874921
2446169,867023502
3382303,907667893
2223814,942517151
30527836,939267979
1572510,326849066
2503623,902571757
1146406,763749745
1507634,799098432
3804262,932320279
3159355,947645566
24540372,775666866
2696424,343745288
2692006,358190886
1436578,342717008
1416794,984934446
2109128,799163543
1417446,702644722
8732402,343992888
1563303,971201184
10942380,812002888
3584314,357770239
2123621,796010110
1709483,879484131
1509095,342141996
2665241,866985676
5385691,981037997
3830417,945441689
51295120,795626262
3667708,974861231
2946766,932305439
2804042,373433577
1845293,762626621
6352787,819008833
4345469,862266168
2916898,974430243
1479315,343698439
1609233,865187892
1478877,865196496
4632448,922781379
1380092,769888846
2889813,962111661
2925234,335704939
2713305,343586366
1721098,364134766
4596076,383296886
3150781,325671319
22025120,707999779
3522462,334361388
2169596,799171764
2825982,938583969
2103318,889626656
1878728,945990718
5032862,787283555
1911839,965262087
1515062,799184584
2001905,334271204
1465814,385681586
1445299,762771961
2181728,812011983
3025064,983642348
8177085,856167979
4105261,767131345
6886694,929115579
6197299,567379779
2005888,356125139
4990272,792423222
3948916,333241788
7688246,899936386
1771426,707365563
6025805,522011998
2411367,909265095
3034454,818040868
3035116,888546454
1724701,903301913
4021330,938292595
3719215,866247778
2284841,384754779
1228787,911117717
2425448,865406939
3330103,329572399
8602115,706027979
2434304,976111032
2168134,943823307
1466243,862984079
1692648,708086084
4009260,942166622
3400666,335260001
6799876,568103168
1927094,343294234
2075975,773362676
2621086,813861315
5901313,365444443
3438780,358525525
8797419,788888335
1291999,961580359
6040145,888866991
1630195,343310591
3976028,763538338
2410723,865918568
1893764,523991981
3436997,905123254
2160881,854100300
1779299,862943499
2987442,367879677
1610930,329082839
3188490,865686780
2444139,326854399
1705572,702131982
3665481,889797356
1290785,879160884
6040388,398137788
1011073,763746646
6847036,908697333
1311312,762621961
79602504,933838386
2022547,987948476
2581645,966689610
1845604,369891985
2326572,936330133
4293702,868652679
3448383,868929993
2993797,968366658
2552128,898529313
2241370,898311227
6578474,375760888
2764027,375954554
1141689,344280184
2827454,926368118
2363732,965034886
66791040,845678283
5131711,352159179
2052880,965148524
3279459,877152366
3656861,862982228
3128389,376295388
2133754,911690139
5398022,775687678
2510970,865396766
4259271,798666622
2202633,333417699
3444336,386736286
46397016,932338688
8157081,855996899
5661936,769264555
3494498,918358338
3785014,332892966
1459204,343982017
2307015,327762139
2708518,762512812
2403974,979702011
1479521,762701983
2895775,342847889
2087026,342872939
1913247,773372543
1479263,979100610
3980148,966184579
4744484,847423678
5673274,368285789
2595488,327943969
2738506,986252050
3870369,382356268
3070875,762644811
2393282,949470392
1727200,762534537
7989295,876246888
1552494,877010683
3225699,789106969
1965821,926363359
5129805,879258288
14670218,888863879
2440015,964444083
3162133,349228488
2655399,936995595
1635845,329041639
2209630,336503337
1685257,329490639
3176456,889505697
2779576,856865986
2504882,919101141
3721895,827314678
1857309,795701012
3246124,388855922
2722143,944091367
3338456,888675505
2474796,702692392
2171824,865989538
2822813,945080959
3053981,795593345
2226625,328004699
4285080,786877774
7064088,705939799
6626895,818367779
2508838,837666279
1863745,326090693
2808110,877117577
7101139,836989879
109560296,793778899
1932574,865987654
4074305,985625562
5061264,786552233
1654167,325711141
1795425,921697980
1669213,763539439
4863303,833181886
3975407,901884588
3854772,827555886
5671201,335830000
171532080,819111666
1591600,328480669
1659963,326147299
139099440,398059999
1751169,335190600
2042343,769319939
2026177,383240191
4269112,707355556
2422216,987552019
1287869,522341984
2362575,989160975
24849596,838858999
2355118,369967386
2810404,925122009
2166270,943743227
1396026,944300694
1962368,942771970
4834114,931624777
3040190,867514679
3227531,934965486
1593788,762401379
2595042,909969612
1454345,854218639
3785237,783669900
356821888,762226666
1632788,342986379
2242794,906176990
2948576,328661886
5547180,813297678
4218159,888882687
5488442,798779886
1791275,369766079
2188244,522041994
2734298,523982008
2540676,829012368
2595801,339021797
3524568,968381339
8655237,814066686
2521120,768179568
16361379,816868988
1698456,964903258
3411675,782149555
2250932,898325774
3637866,358892939
3422920,335886636
1806355,983967785
7485564,971197789
2262046,948108910
2991652,938221148
3813698,927502008
4025982,325222007
1996089,763556551
245970656,965665665
2020739,352397169
4724820,979880568
1821840,336736239
2428660,799972972
1984212,708137131
3041312,332121286
1751047,941144664
1827710,877111822
25168412,779183838
14087788,766669868
1703271,332712499
4117432,846761333
8268312,799933777
2603121,763578345
6892742,566088688
4205444,848971678
2651744,969108028
2771055,813061976
4278102,819429678
1727228,934138558
3368974,913134404
2727842,942470223
5396302,812855866
2827441,815056839
8665501,705691666
3998140,971782022
467530304,707777888
2452347,877150804
1501447,343300053
78988168,886666696
2270549,794402879
4984133,888344456
2845002,778500788
1321773,567649946
2553660,329300566
3120572,858976986
3786610,938646636
6595533,886223444
4271058,903783179
2136850,921071992
4806129,929056768
1502908,972210163
1694515,862928339
4425198,799977970
2764694,763071797
1289691,865837840
1805386,354637536
2224193,888940418
2895231,813677997
2167493,326825466
1673138,326516739
2991563,909176870
71927208,707082222
177541744,847383838
4550383,359239222
4670308,926478578
1386860,763669664
1952952,843587386
1600517,326594739
3665164,972569611
1642488,343180839
3661300,967736707
4502613,876686839
4413938,984318986
5222276,823838878
5221445,978206179
3503662,945305179
6973754,965770222
2456177,974127557
3076724,702669456
1970480,902414078
1809850,336082539
1800357,348952766
3749144,877007768
4183711,368833638
1697434,344001144
2418833,877104779
1759045,334879486
1733454,865184479
3680532,977378837
6355070,813369777
1121678,961842494
2412915,327470286
18290840,788841999
2081680,376213266
1396283,336002786
2258965,901687267
4727776,857809678
2993406,972112568
2127184,826022027
4582218,336137866
1259364,349923786
3081443,816711677
2389464,359390199
1651612,859457457
1654392,783838078
2999505,355977898
1412435,773313654
3499036,334813188
1770633,388368519
1872621,345980169
1898970,972215921
3533684,865475378
8109904,338127999
1907664,763061067
3948273,912530939
2616600,937229329
3880697,942697898
2630288,704411411
2264416,777040404
3214147,945662756
4546959,794225666
2299147,327530539
1582957,909110637
1629841,763755758
2782741,357481088
3052090,918048252
7898806,989052244
2175717,353480388
4270416,945878778
2319178,858060060
2905654,365777268
4805107,782827666
2585038,944708683
3112671,927609686
2789457,857806886
5824030,852139666
2587070,879488681
1821478,335204588
4729974,862281168
1714998,326417586
3200126,865062488
1655676,353115229
2697553,909746285
2096960,916189903
3669934,563532001
1563742,343150876
13736429,928955678
7554809,979246000
3117152,398791998
2241735,346061218
4380216,362079079
2262564,931369357
2437713,939398635
1714051,966252786
3129958,918541106
2478158,969696163
1553863,963283628
1630405,705907765
5667316,838222200
4569126,567132668
2964909,971537755
1619323,965799060
3796074,868240686
1719766,909196984
1401054,334844467
3742681,977540601
2243395,902305993
4263404,775686636
26946940,931231555
1681753,326577742
3157337,947935070
4855242,869386386
1239904,342134953
4860937,842389678
7681054,764911555
1111712,877992241
2119040,335830539
5336462,866239678
1441603,886706214
1938748,359014966
7116480,902919889
1927414,832666369
6139323,922687679
25412480,989789868
2258612,936185216
1900644,369206906
50187160,826889888
1452038,916081995
2377076,343356186
3166888,946666643
6454212,825707707
2610580,763023923
2724136,877149977
1482671,947699631
1839647,949089311
1614412,335922839
5121123,568071779
5070572,343332332
33266372,783774444
2479380,762667662
144046496,762289999
2368498,705297711
3941628,326691866
2801002,981460746
5012802,935886186
2808914,879286269
1941748,523832002
2403359,327732488
2998154,905155120
1887944,948423786
4936134,927532006
1961326,984064876
2113366,909110856
2218881,918411996
1477802,336150775
1554932,379711221
3667954,763106070
4273076,868799368
1487977,344514439
4887281,937211233
6109417,898909991
1156964,777678437
1581168,936130183
8605751,399130000
14738627,797226888
1480624,828009596
1262596,924989196
2151225,702792692
1946101,362894079
2249070,982559930
1542005,376040781
5447382,979823179
1626673,367021961
8191542,824399998
3490026,981665092
5549228,915449900
1860391,963452024
3022151,325226626
1921528,343191974
5746606,974376866
1911235,798888532
2894444,904750543
2326328,329310003
2701704,886485562
2093982,339086568
4667237,975520268
2666498,987278931
8521631,767134999
3232646,898325507
6407651,822139666
4838531,909263881
1553196,866384784
3497708,936697577
2595079,797051191
4685641,919318689
1516189,947966294
3519999,768986123
1620335,326160680
2861775,789888701
4600026,764488488
1639601,879403322
4031985,859034678
7037878,375686777
1632761,879612712
2016505,903084646
1546931,971967096
2398214,877993009
6382248,911201688
4918229,705507879
2309190,373051996
2985571,921423324
5951060,971955679
122877592,988888266
6448801,375298922
3621105,985867898
5479286,919464989
3012950,971922346
2147860,328784766
3559386,937923486
1833072,763011822
4648781,818731368
2296204,879287858
1667545,384976399
1980658,916042142
3956326,901388379
3723648,337139668
1683205,708143149
3053573,334306179
