price_vnd,sim_number
450000,343189288
3000000,888899580
500000,928960006
5000000,902438679
450000,334307889
450000,328190680
12000000,926052005
3000000,921220924
500000,877001866
199000000,769889999
500000,879161786
450000,343558799
5000000,866615679
1000000,869856892
450000,343684386
5000000,827808088
104000000,786008888
1000000,763659259
5000000,971318568
500000,377321486
450000,862998937
450000,865487079
3000000,566682868
14000000,834141141
1000000,916789815
11325000,856637678
3000000,847797988
500000,904434880
1000000,979792743
1000000,765959695
11325000,825294678
10000000,384076888
500000,901184676
450000,334666375
3000000,944468567
450000,333954588
11325000,827470678
450000,865514899
1000000,773322899
5000000,815818186
1000000,906111937
1000000,788333178
3000000,707086696
450000,335316739
450000,364556499
450000,328030803
3000000,912404244
500000,869919815
450000,344233395
3000000,978573993
3000000,832404144
450000,865756785
5000000,865777792
13000000,767890022
450000,343321286
500000,941219123
1000000,798586767
1000000,921150797
3000000,979547786
1000000,943509439
10000000,971908868
1000000,948858546
5000000,793522228
3000000,703631631
450000,866031393
450000,865550139
5000000,342424296
500000,857866939
500000,368803768
500000,877152986
450000,328199967
500000,911217517
450000,333047139
1000000,764656234
3000000,906838396
450000,342130696
500000,354024669
188000000,982228999
500000,326070685
5000000,772892345
12000000,352918999
450000,335499139
500000,909620653
500000,396272442
1000000,705981962
450000,326010003
10400000,933331389
500000,879612456
500000,889247226
12000000,826102010
1000000,942400190
500000,963496323
450000,336208966
1000000,943867315
11325000,854508678
3000000,792861939
12500000,765166166
1000000,763643642
450000,343651399
500000,982972077
450000,334739266
500000,911213093
500000,965102876
5000000,769333325
1000000,769687079
1000000,946758374
500000,368947488
500000,868721662
450000,327617772
10000000,815259888
450000,982034573
450000,332643679
450000,336043773
1000000,708187557
3000000,899666601
3000000,824481481
5000000,855661982
11000000,824101101
500000,988076494
5000000,938304030
59000000,336678999
3000000,383217879
10000000,968333302
12000000,327171171
5000000,794999933
1000000,763714711
5000000,961641990
3000000,938575898
14000000,858881995
3000000,934595359
1000000,708025021
500000,931395759
11325000,817253678
500000,523501992
450000,343933669
450000,329832566
12000000,924071979
1000000,988908510
500000,924890686
450000,334838599
450000,865050497
500000,879484889
10000000,905388268
12000000,868838366
500000,966052584
5000000,888803686
450000,368020196
3000000,906611997
3000000,936562014
5000000,784865865
5000000,379551984
500000,877100897
1000000,942268185
12000000,847795678
3000000,979692010
5000000,866838879
1000000,778566977
3000000,898260898
5000000,888313737
15000000,815072021
1000000,762755833
500000,989754971
1000000,936663769
5000000,352656569
5000000,399469668
1000000,936381583
500000,976012723
500000,987445960
10000000,968982366
1000000,963625139
1000000,888613577
3000000,898989213
3000000,822345858
450000,327387771
500000,907097143
13500000,325012010
500000,929991325
500000,879935639
450000,327561039
1000000,778539210
3000000,929989286
3000000,961866852
3000000,911270039
55000000,901455455
450000,866383530
5000000,339900575
1000000,869221639
5000000,854403403
450000,327022294
500000,963702718
11700000,789938686
450000,369043444
3000000,363366879
3000000,393179444
3000000,367611986
500000,944570266
450000,354296799
5000000,797357878
1000000,394390868
450000,329872234
1000000,708042542
3000000,901459229
500000,963271665
1000000,583777277
5000000,847473838
